DateTime,PropMode,Distance
28/05/2014 11:35,Es,1153.4
28/05/2014 11:35,Es,1153.4
28/05/2014 11:35,Es,1153.4
28/05/2014 11:36,Es,901.2
28/05/2014 11:36,Es,1304.8
28/05/2014 11:37,Es,952.9
28/05/2014 11:37,Es,1036.5
28/05/2014 11:37,Es,1036.5
28/05/2014 11:38,Es,951.8
28/05/2014 11:55,Es,724.7
31/05/2014 09:30,Tropo,185.3
01/06/2014 15:32,Es,1300.5
02/06/2014 10:16,Es,1022
02/06/2014 10:21,Es,1022
02/06/2014 10:25,Es,978.3
02/06/2014 10:26,Es,774.7
02/06/2014 10:26,Es,1022.3
02/06/2014 10:27,Es,1234.6
02/06/2014 10:28,Es,774.7
02/06/2014 10:35,Es,1016
02/06/2014 10:44,Es,935.2
02/06/2014 10:45,Es,1145.3
02/06/2014 10:47,Es,1118.7
02/06/2014 10:47,Es,1170.3
02/06/2014 10:49,Es,1132.5
02/06/2014 10:49,Es,1181.4
02/06/2014 10:50,Es,1181.4
02/06/2014 10:50,Es,1181.8
02/06/2014 10:56,Es,1138.5
02/06/2014 10:57,Es,959.2
02/06/2014 10:57,Es,1134.8
02/06/2014 11:00,Es,1307.5
02/06/2014 11:06,Es,992.9
02/06/2014 11:08,Es,893.3
02/06/2014 11:08,Es,902.5
02/06/2014 11:17,Es,1247.4
02/06/2014 11:17,Es,1381.3
02/06/2014 11:19,Es,1212.4
02/06/2014 11:20,Es,1209.5
02/06/2014 11:23,Es,916.4
02/06/2014 11:28,Es,1060.4
02/06/2014 11:32,Es,1152.3
02/06/2014 11:43,Es,952.9
02/06/2014 18:10,Es,1464.4
02/06/2014 18:16,Es,951.8
02/06/2014 18:43,Es,1307.5
02/06/2014 18:45,Es,1252.1
02/06/2014 19:15,Es,892.3
02/06/2014 19:18,Es,1089.9
03/06/2014 05:47,Es,1022
03/06/2014 05:48,Es,978.3
03/06/2014 05:52,Es,982
03/06/2014 05:57,Es,1076.3
03/06/2014 05:58,Es,1046.3
03/06/2014 06:00,Es,1291.2
03/06/2014 06:03,Es,1095.8
03/06/2014 06:05,Es,1022
03/06/2014 06:09,Es,1016
03/06/2014 06:19,Es,853.4
03/06/2014 06:30,Es,955.4
03/06/2014 06:30,Es,1090.4
03/06/2014 06:30,Es,1135.4
03/06/2014 06:33,Es,1018
03/06/2014 06:37,Es,1099.1
03/06/2014 06:45,Es,1045.2
03/06/2014 06:50,Es,956.6
03/06/2014 06:50,Es,1224.5
03/06/2014 06:52,Es,956.4
03/06/2014 06:53,Es,1024
03/06/2014 07:01,Es,989.9
03/06/2014 07:04,Es,969.2
03/06/2014 07:05,Es,925.6
03/06/2014 07:06,Es,885.9
03/06/2014 07:06,Es,1137.2
03/06/2014 07:06,Es,1181.4
03/06/2014 07:07,Es,1181.4
